w,m
inter-library loan service,馆际间互借服务
resource,资源+物力
photocopier,复印机
collection,收集-采集+收藏品
rare book,珍藏书
preserve,保护+保持-保存
permission,允许+批准
access,入口-出口-接近
Anthropology,人类学
prevalent,流行的-盛行的
bark,树皮+吠叫
canoe,独木舟+划（乘）独木舟
stream,河流-小河-趋势
transportation,运送-运输
vessel,容器+船-飞船+血管
sturdy,强壮的-健全的+坚固的
branch,树枝+分支+部门+分支形成
stitch,缝+缝补
cargo,货物+负荷
maneuverable,容易操作的-有机动性的
portage,陆上运输
alliance,结盟-同盟-联盟
federation,联邦-同盟+联盟
impression,印象-感觉
lodging,出租的房间+暂住+
glacier,冰河-冰川
crystallize,使结晶+使成形
gravity,重力+万有引力
bedrock,基岩
friction,摩擦+冲突
deformation,变形
brittle,易碎的
shatter,使破碎-使碎裂
extension,伸展-扩大+延长
compression,压缩-压紧
crevasse,裂缝
constrict,压缩-压紧
fissure,分裂+裂开
surge,汹涌+大浪
registrar,登记员+教务主任
graduation,毕业+毕业典礼
diploma,毕业文凭+学位证书
requirement,要求+必要条件
credit,学分+信誉+归功于
intermediate,中间的-中级的
course,课程
intro course,
supplement,增补-补充+补充物
arrangement,安排+排列
certify,证明
deadline,截止期限
passive,被动的+消极的
habitat,栖息地-住处
selection,选择
disperse,分散-（使）散开+散播
reproduce,复制-重现+繁殖
organism,有机体+生物体+微生物
physically,体格上-身体上+物理上
breed,繁殖+养育+属+种类+类型
offspring,后代-子孙
survival,幸存-生存
preference,偏爱+优先权
destruction,破坏-毁灭
shallow,浅的-肤浅的+浅处
vulnerable,易受攻击的+易受伤的
artificial,人造的+人工的+虚假的
suitable,合适的-适当的
exhibit,陈列-展览+呈现
shrub,灌木+灌木丛
bush,灌木（丛）
dominant,占优势的+统治的
reproductive,富有成效的+多产的+生产性的
density,密度+稠密
dense,密集的-稠密的
suitability,合适-适合+
academy,专科学校+学会-学院
adopte,采用-采取-采纳+收养
establish,建立-创建
studio,工作室-画室
sculpture,雕刻（术）-塑像+雕刻品
salon,沙龙-客厅+画廊+美术展览会
masterpiece,杰作-名作
depict,描绘-描画
chapter,章-回
textbook,教科书+课本
issue,问题+（报刊的）期+发行物+发行
author,著作家+作者
presentation,陈述-报告
literacy,识字+有文化
literate,有读写能力的+有文化修养的
invent,发明-创造
quartz,石英
magnify,放大+赞美
optical,视觉的-视力的
alternative,替代的+备选的+可供选择的事物
intelligence,智力+聪颖
symbolize,象征+标志
affluence,富裕+富足
available,可获得的+有空的
periodic table,周期表
prediction,预测-预报
element,元素+要素+原理
category,类型-部门-种类
property,特性-属性+财产-地产
atomic,原子的+原子能的
atom,原子+原子能
proton,[物]质子
spectroscopy,光谱学
Masurium,鎷（元素锝）
Technetium,锝
Uranium,[化学]铀
isolate,使隔离-使孤立
sample,样品-华样+标本
convince,使相信-说服-使承认
synthesize,综合+人工合成
artificial,人造的+人工的
radioactive,放射性的
decay,腐烂-腐朽
ore,矿+矿石-矿砂
fission,分裂-裂变
acdemia ,学术界+学术生涯
manufacturer, 制造商+[经] 厂商
administration, 管理+行政+实施+行政机构
FDA,食品及药物管理局
floating ,漂浮
package,包-包裹+一揽子
packaging,包装+包装业-包装风格
foodborne ,食物传播的
bacteria ,细菌
preliminary,初步的-预备的
overwhelm, 淹没+压倒+受打击
opaque,不透明的+不传热的
carton,纸板箱
container,集装箱+容器
flavor,情味-风味+香料
nutritional, 营养的+滋养的
dairy, 奶制品+乳牛+制酪场
senior paper,毕业论文
extended borrowing privilege ,延期还书特权
recalled,召回+回想起
chapter,章-回+
suspended ,悬浮的+暂停的-缓期的
knack ,诀窍+本领
illusion, 幻觉-错觉+错误的观念或信仰
rigid, 严格的+僵硬的-死板的+
dimensional, 空间的+尺寸的
elaborate, 精心制作的+
outdo, 超过+胜过
sythesize, 合成+综合
multimedia,多媒体
constraint ,约束+局促-态度不自然+强制
unified,统一的+一致标准的
emphasis, 重点+强调+加强语气
mechanical ,机械的+力学的
horizon,地平线+视野+眼界+范围
foreground , 前景+最显著的位置
decade,.十年-十年期
tundra, [生态] 苔原+[地理] 冻原+冻土地带
percipitation, [化学] 沉淀-[化学] 沉淀物+冰雹+坠落
thaw,解冻+融雪
permafrost ,永久冻土-永久冻地+永久冻结带
impermeable,不渗透性的+
interfere, 干涉+妨碍+打扰
arctic, 北极的+极寒的
microbe, 细菌-微生物
microscopic,.微观的+用显微镜可见的
organism, 生物体
nitrogen ,[化学] 氮
penetrate , 渗透+穿透+洞察
insulating ,绝缘的+隔热的
nutrient , 营养物+滋养物
run-off ,流量-溢流+
drift,漂流-漂移+
insulate, 隔离-使孤立
microbial , 微生物的+由细菌引起的
loop, 环+圈
abundant ,丰富的+充裕的+盛产
semiarid, 半干旱的+雨量非常少的
prairie,大草原+牧场
thrive,繁荣-兴旺+茁壮成长
peninsula ,半岛
desolate, 荒凉的+无人烟的
barren,荒地 贫瘠的+不生育的
monsoon, 季风+
dot,点-圆点
basin ,水池+流域+盆地+盆
limestone, [岩] 石灰岩
butte,孤峰+孤立的丘
torrential, 急流地+猛烈地
soak, 浸泡+渗透
dune,（由风吹积而成的）沙丘
particle,颗粒+[物] 质点+
clay,[土壤] 粘土+泥土
silt, 淤泥-泥沙+
hollow, 空的 洞+山谷+窟窿
ridge, 山脊+山脉+屋脊
ecosystem,. 生态系统
fossil,化石+
hippopotamus, [脊椎] 河马
buffalo, [畜牧][脊椎] 水牛
mammal,[脊椎] 哺乳动物
primate,灵长类的动物-首领
orangutan, [脊椎] 猩猩
chimpanzee ,[脊椎] 黑猩猩
gorilla,n. 大猩猩
pramatic,实际的+实用主义的
instinctive,本能的+直觉的+天生的
rodent,adj. 啮齿类的-. [脊椎] 啮齿动物
burrow,探索-寻找+挖地洞-
primitive, 原始的-远古的+
discreteness,组件+不连续性（目标对于背景的显明度）
coyote, 一种产于北美大草原的小狼
discrete, 离散的-不连续的
utter, 发出-表达+发射
hawk,清嗓+咳嗽-鹰
at stake,有风险的
refund,退还+偿还-归还
merchandise,补偿-弥补
withdraw,撤退+收回+撤消+拉开
miscalculate,算错+估计错误
syllabus,教学大纲-摘要
dweller, 居民-居住者
skull, 头盖骨-脑壳
aquatic,水生的+水栖的+
limb, 肢-臂+分支
skeletal,. 骨骼的-像骨骼的+
pelvis,骨盆
descendant,下降的+祖传的-后裔+子孙
revelation, 启示+揭露+出乎意料的事+
controversy,争论+论战+辩论
molecular, [化学] 分子的+由分子组成的
sperm whale,巨头鲸+[脊椎] 抹香鲸
baleen whale,须鲸
ingredient ,原料+要素+组成部分
,adj. 构成组成部分的
squash,把…压扁+壁球+挤压+咯吱声+南瓜属植物+
hungarian,匈牙利的
nightshade, 茄属植物
inedible,a不能吃的
poisonous,adj. 有毒的+恶毒的+讨厌的
conventional, 符合习俗的-传统的
restrain ,. 抑制-控制+约束
greenish,. 呈绿色的
maize, 黄色的-玉米色的-玉米
subsist, 存在+维持生活
nutritious, 有营养的-滋养的
nitrogen ,[化学] 氮
carbon , [化学] 碳
phosphrous,磷
fertilizer, [肥料] 肥料+受精媒介物
decompose, 分解+使腐烂
algae,[植] 藻类+[植] 海藻
excessive,过多的-极度的+过分的
clog,阻塞+障碍
sediment,沉积+沉淀物
submerge,淹没+把…浸入+沉浸
erode, 腐蚀-侵蚀
substantial,大量的+实质的
amnesia, 健忘症-[内科] 记忆缺失
cognitive,认知的-认识的
symbolically, 象征性地+象征意义地
stimuli, 刺激+刺激物+促进因素
replicate,重复+复制品
course,课程-路线
entitle,使有资格-给与…权利-称做
separate,分离+区分+隔开
work,工作-使产生效果
access,接近-进入-使用
equipment,设备-装备-（工作必需的）知识
check,支票-检查-在…上打勾
schedule,清单-预定计划-安排
register,登记-注册
instructor,指导者-教师
enroll,注册-登记-加入
semester,学期
convince,使相信-说服
assess,评定-估价
appointment,约会-预约-任命-职务
jot down,匆匆记下
qualified,有资格的-胜任的[描述-形容
applicant,申请人-求职人
interview,采访+面试
process,过程+工序
committee,委员会
academic,学院的-大学的[学者+大学教师
candidate ,报考者+申请求职者
perspective,透视的+望远镜+观点
behavior,行为
distraction,注意力分散
display,陈列品-展览品[ 陈列
predator ,以掠夺为生的人+捕食其他动物的动物
species,物种+种类
opposite,相对的+对面的
approach,方法+接近
draw ,画+拉
engage,吸引住+从事
injury,损害+受伤处
exhaust,耗尽+使精疲力尽
impression,印象-感觉
illusion ,错觉+幻想
feather,羽毛
swirl,旋转-打旋
squeeze,挤-榨
conspicuous,明显的+显而易见的
mature,成熟的
capable,能干的
hatch,孵化
detour,绕路-绕道
residential,住宅的-适于作住宅的
function ,功能
structure ,结构
region,地区-地域
narrow ,狭隘的+狭窄的
particular ,特别的+详细的
principle,原则-原理
concept,观念-概念
practical ,实践的-实际的
accurate,精确的
expose,揭露-揭发
compact ,压紧-（使）坚实
steep,陡峭的-浸泡
angle,（考虑、问题的）角度
accumulate,堆积-积累
efficient,有效率的
typical, 典型的
harsh,粗糙的+刺耳的+严厉的
reflection,反映
dwelling,住处-处所
decorate,装饰+点缀
rural ,乡下的
survival,幸存-生存
conformity ,符合+一致
imitate,模仿
precisely,精确地
aesthetic,美学的+有关美的
appeal,（迫切）要求+有吸引力
purity,纯度+纯洁-纯净
proportion,比-比率
enduring,持久的-不朽的
vegetation,植物（总称）-草木
